Compound Score,News Name,Tweets ago
-0.5994,BBC,1
-0.0772,BBC,2
0.7184,BBC,3
0.0,BBC,4
0.0,BBC,5
0.0,BBC,6
0.6239,BBC,7
0.4003,BBC,8
0.5411,BBC,9
0.5267,BBC,10
0.5267,BBC,11
0.4404,BBC,12
0.0,BBC,13
0.0,BBC,14
0.34,BBC,15
0.6705,BBC,16
0.0,BBC,17
0.0,BBC,18
-0.2023,BBC,19
0.6757,BBC,20
0.0,BBC,21
0.0,BBC,22
-0.3252,BBC,23
0.0,BBC,24
-0.3182,BBC,25
0.0,BBC,26
0.0,BBC,27
0.4939,BBC,28
0.25,BBC,29
0.0,BBC,30
0.0,BBC,31
-0.2263,BBC,32
0.0,BBC,33
0.0,BBC,34
-0.2023,BBC,35
0.875,BBC,36
0.2732,BBC,37
-0.0772,BBC,38
0.5859,BBC,39
0.3818,BBC,40
0.0,BBC,41
0.0,BBC,42
0.6369,BBC,43
0.3612,BBC,44
0.5719,BBC,45
0.0,BBC,46
-0.7269,BBC,47
0.6515,BBC,48
0.6908,BBC,49
0.0,BBC,50
0.0,BBC,51
-0.5719,BBC,52
-0.296,BBC,53
0.0,BBC,54
0.0,BBC,55
0.69,BBC,56
0.0,BBC,57
0.0,BBC,58
-0.8658,BBC,59
0.0,BBC,60
0.34,BBC,61
0.4588,BBC,62
0.0,BBC,63
0.0,BBC,64
0.0,BBC,65
0.0,BBC,66
-0.1531,BBC,67
-0.7777,BBC,68
0.6037,BBC,69
0.8126,BBC,70
0.0,BBC,71
0.0,BBC,72
0.5499,BBC,73
-0.5849,BBC,74
0.0,BBC,75
-0.4215,BBC,76
0.0,BBC,77
0.2023,BBC,78
0.8617,BBC,79
0.0,BBC,80
0.0,BBC,81
0.0,BBC,82
0.0,BBC,83
0.25,BBC,84
0.0,BBC,85
0.4579,BBC,86
-0.6908,BBC,87
0.7096,BBC,88
0.0,BBC,89
-0.765,BBC,90
0.0,BBC,91
0.0,BBC,92
0.0028,BBC,93
0.4588,BBC,94
-0.2263,BBC,95
0.0,BBC,96
0.0,BBC,97
0.4215,BBC,98
0.6027,BBC,99
0.0,BBC,100
0.2023,BBC,101
0.3164,BBC,102
0.0,BBC,103
-0.128,BBC,104
